city,date,co,no,no2,o3,so2,pm2_5,pm10,nh3
Delhi,31-03-2021,794.41,0,16.11,145.91,31.47,135.87,192.24,22.29
Delhi,01-04-2021,540.73,0,18.85,114.44,26.94,24.61,33.42,16.97
Delhi,02-04-2021,1028.06,0,37.01,67.23,39.58,47.7,69.59,24.07
Delhi,03-04-2021,2643.59,16.76,78.83,0.13,79.16,137.83,208.68,33.44
Delhi,04-04-2021,3364.56,9.84,101.45,0.68,74.39,178.41,261.54,36.99
Delhi,05-04-2021,4325.87,28.16,98.71,0.01,88.69,242.58,328.87,31.92
Delhi,06-04-2021,934.6,0,32.22,52.93,41.01,62.75,98.77,22.29
Delhi,07-04-2021,961.3,0,23.99,127.32,38.15,118.34,148.06,23.31
Delhi,08-04-2021,1895.9,0,54.84,44.7,50.55,153.04,212.19,29.39
Delhi,09-04-2021,1762.39,0.01,58.26,29.33,49.59,100.25,146.7,29.64
Delhi,10-04-2021,1108.17,0,43.18,52.21,45.3,52.19,81,23.56
Delhi,11-04-2021,847.82,0,26.39,83.69,29.09,49.57,73.11,20.77
Delhi,12-04-2021,1455.31,0,47.3,38.62,46.25,87.96,142.47,26.09
Delhi,13-04-2021,2109.53,0.1,65.12,24.68,62.94,133.88,201.24,31.16
Delhi,14-04-2021,854.49,0,30.85,70.81,37.67,55.39,91.42,22.55
Delhi,15-04-2021,1615.52,0.02,56.21,31.11,49.11,91.23,151.52,25.08
Delhi,16-04-2021,2510.07,6.93,85,1.04,66.76,151.86,225.7,31.67
Delhi,17-04-2021,1241.68,0,45.93,46.49,50.07,60.87,95.05,19.51
Delhi,18-04-2021,4112.24,16.76,94.59,0.07,65.8,263.63,358.54,40.03
Delhi,19-04-2021,1508.71,0,48.67,42.2,46.73,82.21,124.38,26.35
Delhi,20-04-2021,1081.47,0,40.1,56.51,44.35,56.45,89.03,24.83
Delhi,21-04-2021,1041.41,0,41.47,45.06,43.39,45.97,76.5,20.52
Delhi,22-04-2021,4165.65,20.56,116.53,0.06,68.67,274.52,382.07,43.57
Delhi,23-04-2021,707.63,0,28.45,75.1,46.73,32.24,45.33,16.47
Delhi,24-04-2021,921.25,0,30.85,57.94,41.96,44.61,72.42,21.03
Delhi,25-04-2021,827.79,0,27.42,97.28,35.76,44.89,62.47,21.53
Delhi,26-04-2021,2777.1,6.99,79.51,0.83,65.8,158.07,228.71,31.92
Delhi,27-04-2021,6942.75,94.77,111.04,0,137.33,401.12,569.76,74.98
Delhi,28-04-2021,3738.4,24.59,87.74,0.01,92.51,226.04,331.69,38.51
Delhi,29-04-2021,1682.28,0,58.95,37.19,62.94,106.72,162.56,28.12
Delhi,30-04-2021,2349.85,0.01,77.46,36.48,52.93,167.92,217.41,31.92
Delhi,01-05-2021,2109.53,0,66.49,37.19,47.21,163.5,206.78,28.63
Delhi,02-05-2021,1668.93,0,51.41,61.51,42.92,141.47,177.24,24.07
Delhi,03-05-2021,2109.53,0.26,67.17,12.52,43.39,148.69,193.32,28.63
Delhi,04-05-2021,2243.04,0.3,68.55,13.95,61.99,128.77,198.65,30.65
Delhi,05-05-2021,834.47,0,31.19,82.25,49.11,80.17,106.16,17.48
Delhi,06-05-2021,2056.12,0,57.58,57.22,57.22,150.11,194.11,27.36
Delhi,07-05-2021,1548.77,0,38.73,92.98,43.39,126.89,154.64,17.48
Delhi,08-05-2021,6141.66,26.15,171.36,0.01,84.88,511.05,628.73,39.52
Delhi,09-05-2021,1375.2,0,35.99,70.81,42.92,99.29,127.91,23.81
Delhi,10-05-2021,1949.31,0.01,69.23,29.68,41.96,109.65,145.86,28.12
Delhi,11-05-2021,1214.98,0,30.5,88.69,40.53,90.81,109.72,22.55
Delhi,12-05-2021,4005.43,0.8,112.41,9.03,67.71,286.39,377.12,38.51
Delhi,13-05-2021,5393.98,31.74,135.72,0,74.39,345.92,462.17,44.08
Delhi,14-05-2021,4646.3,38.45,89.11,0,54.36,277.53,377.51,40.03
Delhi,15-05-2021,2349.85,0.32,77.46,11.62,62.94,143.51,222.33,31.67
Delhi,16-05-2021,9506.23,98.35,167.25,0,164.03,615.15,813.57,87.14
Delhi,17-05-2021,2456.67,0,67.86,43.27,63.9,153.99,230.31,28.37
Delhi,18-05-2021,720.98,0,22.62,62.94,19.79,78.05,99.67,13.55
Delhi,19-05-2021,1762.39,12.41,67.17,0.22,55.31,94.14,116.18,10.77
Delhi,20-05-2021,627.52,0,23.31,35.05,27.42,26.05,28.81,2.01
Delhi,21-05-2021,6782.53,116.23,86.37,0,43.39,373.37,480.61,15.96
Delhi,22-05-2021,3738.4,15.65,94.59,0.07,32.42,239.55,306.2,12.79
Delhi,23-05-2021,1428.6,0,54.15,36.84,19.31,88.33,167.86,20.52
Delhi,24-05-2021,1535.42,2.01,52.78,3.93,29.8,100.57,176.79,25.84
Delhi,25-05-2021,1028.06,0,29.13,85.12,30.99,72.4,101.93,22.55
Delhi,26-05-2021,3952.03,39.34,84.31,0,71.53,198.08,291.46,37.49
Delhi,27-05-2021,8865.36,97.45,211.12,0,125.89,530.43,724.58,86.13
Delhi,28-05-2021,4539.49,4.25,115.16,2.01,42.44,421.15,496.63,34.45
Delhi,29-05-2021,1214.98,0,35.3,89.41,29.56,112.71,136.27,26.09
Delhi,30-05-2021,654.22,0,17.65,97.28,23.84,67.63,80.84,15.71
Delhi,31-05-2021,1375.2,0,41.13,42.92,25.51,96.35,142.19,26.35
Delhi,01-06-2021,2029.42,0.75,78.14,9.12,38.62,136.29,221.83,10.01
Delhi,02-06-2021,6622.31,76,127.49,0,51.98,466.49,625.78,20.27
Delhi,03-06-2021,11535.65,82.25,180.96,0,98.23,959.73,1179.12,52.69
Delhi,04-06-2021,6835.94,56.33,108.3,0,62.94,556.33,735.44,35.97
Delhi,05-06-2021,9078.98,26.15,241.28,0.02,78.2,878.99,1029.69,39.01
Delhi,06-06-2021,1869.2,0.6,69.23,11.27,29.56,124.44,177.12,23.05
Delhi,07-06-2021,8224.49,121.59,98.71,0,90.6,487.76,642.64,50.66
Delhi,08-06-2021,2349.85,0,67.17,80.11,91.55,170.69,208.08,25.84
Delhi,09-06-2021,894.55,0.06,40.44,22.35,25.99,52.49,143.22,21.28
Delhi,10-06-2021,5447.39,89.41,106.93,0,72.48,248.33,455.24,43.06
Delhi,11-06-2021,781.06,0,23.65,76.53,33.38,35.74,68.17,14.57
Delhi,12-06-2021,934.6,0,25.02,107.29,37.19,74.77,93.43,16.97
Delhi,13-06-2021,1054.76,0,18.68,170.23,37.19,98.79,102.05,3.77
Delhi,14-06-2021,574.11,0,19.71,74.39,27.9,24.78,31.68,14.19
Delhi,15-06-2021,741.01,0,28.1,62.94,35.29,36.75,48.37,17.73
Delhi,16-06-2021,3791.81,60.8,71.97,0,55.79,179.96,288.44,39.52
Delhi,17-06-2021,1441.96,0,51.41,45.78,47.68,114.54,144.49,10.01
Delhi,18-06-2021,1014.71,0,39.76,43.63,42.92,53.17,69.37,13.68
Delhi,19-06-2021,1081.47,0.99,62.38,5.9,73.43,46.71,64.17,14.19
Delhi,20-06-2021,774.38,0.05,39.76,16.45,57.7,37.85,47.99,5.13
Delhi,21-06-2021,947.95,0,34.96,37.55,33.38,50.6,67.83,14.82
Delhi,22-06-2021,4005.43,22.58,119.27,0.01,57.22,234.89,309.61,39.52
Delhi,23-06-2021,6515.5,71.53,109.67,0,116.35,374.81,543.46,53.2
Delhi,24-06-2021,1041.41,0,23.65,120.16,38.15,149.07,175.94,21.53
Delhi,25-06-2021,1815.8,0,55.52,38.62,41.49,124.36,176.21,29.89
Delhi,26-06-2021,1388.55,1.98,59.63,4.43,37.19,96.57,246.15,23.56
Delhi,27-06-2021,907.9,0,22.96,120.16,35.29,131.26,203.22,18.75
Delhi,28-06-2021,1014.71,0,22.28,110.15,30.04,107.27,124.57,16.09
Delhi,29-06-2021,1895.9,0,54.84,55.79,48.64,163.72,218.71,30.4
Delhi,30-06-2021,1068.12,0,35.99,61.51,39.1,88.23,193.19,21.28
Delhi,01-07-2021,377.18,0,12.85,65.8,13.23,32.71,117.29,10.64
Delhi,02-07-2021,580.79,0,27.76,47.21,20.5,45.82,130.31,16.47
Delhi,03-07-2021,413.9,0,17.31,62.23,13.59,47.06,165.69,10.51
Delhi,04-07-2021,827.79,0,35.99,30.76,27.9,86.36,283.83,16.97
Delhi,05-07-2021,2323.15,8.49,91.85,0.27,59.61,149.6,315.61,31.92
Delhi,06-07-2021,974.66,0.05,42.5,25.75,38.62,69.78,178.42,19.51
Delhi,07-07-2021,1148.22,0,44.55,31.11,42.92,91.22,239.36,23.05
Delhi,08-07-2021,1068.12,0.01,46.61,24.32,33.85,65.54,174.71,18.75
Delhi,09-07-2021,988.01,0,41.13,88.69,67.71,122.82,209.44,19.76
Delhi,10-07-2021,834.47,0,28.79,111.58,49.11,71.4,80.84,13.17
Delhi,11-07-2021,734.33,0,18.85,120.16,43.39,34.89,39.26,8.49
Delhi,12-07-2021,580.79,0.02,27.08,22.89,36.72,21.28,25.07,4.43
